transaction_id,customer_id,account_id,branch_id,transaction_date,transaction_timestamp,amount_cad,transaction_type,merchant_name,channel
TXN1000001,CUST100231,ACC500473,BR_LAV_008,2025-11-24,2025-11-24T17:13:00,3625.93,BILL_PAYMENT,,POS
TXN1000002,CUST100039,ACC500074,BR_HAM_004,2025-11-23,2025-11-23T14:41:00,4765.46,WIRE,,ATM
TXN1000003,CUST100502,ACC501022,BR_EDM_013,2025-11-09,2025-11-09T08:37:00,4136.76,INTERAC_DEBIT,Tim Hortons,ATM
TXN1000004,CUST100280,ACC500572,BR_LON_005,2025-11-16,2025-11-16T00:55:00,2222.88,ATM_WITHDRAWAL,,POS
TXN1000005,CUST100205,ACC500422,BR_EDM_013,2025-11-06,2025-11-06T21:27:00,3303.71,ATM_WITHDRAWAL,,ATM
TXN1000006,CUST100543,ACC501110,BR_LAV_008,2025-11-30,2025-11-30T00:58:00,4466.38,POS_PURCHASE,Sobeys,BRANCH
TXN1000007,CUST100216,ACC500444,BR_SUR_011,2025-11-11,2025-11-11T23:53:00,4329.38,INTERAC_DEBIT,Loblaws,ATM
TXN1000008,CUST100556,ACC501134,BR_EDM_013,2025-11-24,2025-11-24T21:18:00,4690.19,ATM_WITHDRAWAL,,MOBILE
TXN1000009,CUST100426,ACC500869,BR_OTT_003,2025-11-06,2025-11-06T12:29:00,4623.68,BILL_PAYMENT,,POS
TXN1000010,CUST100914,ACC501859,BR_HAM_004,2025-11-09,2025-11-09T21:17:00,1253.41,INTERAC_DEBIT,LCBO,ONLINE
TXN1000011,CUST100339,ACC500692,BR_VIC_010,2025-11-02,2025-11-02T19:17:00,3297.85,ATM_WITHDRAWAL,,BRANCH
TXN1000012,CUST100014,ACC500026,BR_VAN_009,2025-11-10,2025-11-10T18:42:00,1326.27,INTERAC_ETRANSFER,,POS
TXN1000013,CUST100446,ACC500909,BR_LAV_008,2025-11-01,2025-11-01T14:00:00,4829.6,PAYROLL_DEPOSIT,,MOBILE
TXN1000014,CUST100640,ACC501307,BR_TOR_001,2025-11-14,2025-11-14T01:37:00,1385.85,WIRE,,BRANCH
TXN1000015,CUST100554,ACC501130,BR_LON_005,2025-11-03,2025-11-03T14:11:00,3934.74,POS_PURCHASE,Sobeys,MOBILE
TXN1000016,CUST100127,ACC500261,BR_HAM_004,2025-11-21,2025-11-21T05:09:00,3281.61,WIRE,,POS
